TCGA.3C.AALI.01A.11R.A41G.13	TCGA.A1.A0SQ.01A.21R.A143.13	TCGA.A2.A0CL.01A.11R.A114.13	TCGA.A2.A0D3.01A.11R.A114.13	TCGA.A2.A259.01A.11R.A16E.13	TCGA.A2.A1FX.01A.11R.A13P.13	TCGA.A1.A0SD.01A.11R.A114.13	TCGA.A2.A1FV.01A.11R.A13P.13	TCGA.A2.A0CS.01A.11R.A114.13	TCGA.A1.A0SB.01A.11R.A143.13	TCGA.3C.AAAU.01A.11R.A41G.13	TCGA.A2.A0ES.01A.11R.A114.13	TCGA.A2.A0CO.01A.13R.A22I.13	TCGA.A2.A25A.01A.12R.A16E.13	TCGA.A2.A0CK.01A.11R.A22I.13	TCGA.5L.AAT1.01A.12R.A41G.13	TCGA.A2.A1G4.01A.11R.A13P.13	TCGA.A2.A0CV.01A.31R.A114.13	TCGA.A2.A1FZ.01A.51R.A14C.13	TCGA.3C.AALK.01A.11R.A41G.13	TCGA.A2.A3KD.01A.12R.A214.13	TCGA.A2.A1FW.01A.11R.A13P.13	TCGA.A2.A0CW.01A.21R.A114.13	TCGA.A2.A04U.01A.11R.A114.13	TCGA.A2.A0CR.01A.11R.A22I.13	TCGA.A2.A25D.01A.12R.A16E.13	TCGA.A2.A25B.01A.11R.A168.13	TCGA.A2.A0EP.01A.52R.A22V.13	TCGA.A2.A0T3.01A.21R.A114.13	TCGA.4H.AAAK.01A.12R.A41G.13	TCGA.A2.A0EW.01A.21R.A114.13	TCGA.A2.A3XS.01A.11R.A22V.13	TCGA.A1.A0SG.01A.11R.A143.13	TCGA.3C.AALJ.01A.31R.A41G.13	TCGA.A2.A1G6.01A.11R.A13P.13	TCGA.A1.A0SI.01A.11R.A143.13	TCGA.5T.A9QA.01A.11R.A41G.13	TCGA.A2.A1G0.01A.11R.A13P.13	TCGA.A2.A04W.01A.31R.A114.13	TCGA.A2.A3XT.01A.11R.A22V.13	TCGA.A2.A25C.01A.11R.A168.13	TCGA.A1.A0SF.01A.11R.A143.13	TCGA.A2.A3KC.01A.11R.A214.13	TCGA.5L.AAT0.01A.12R.A41G.13	TCGA.A2.A1G1.01A.21R.A13P.13	TCGA.A2.A25E.01A.11R.A168.13	TCGA.A1.A0SN.01A.11R.A143.13	TCGA.A2.A04N.01A.11R.A114.13	TCGA.A2.A25F.01A.11R.A168.13
hsa-let-7f-5p|MIMAT0000067	6573.296681	3538.537644	9736.555498	15641.119898	5885.755746	7531.028086	9601.630938	9183.747496	6776.260764	5589.308936	3639.172699	2693.98092	5239.616913	34405.355462	4861.776113	11225.738389	13548.869977	12687.828031	3854.978877	6454.694524	10894.473409	15810.349406	7062.096361	18203.742994	4521.994275	15480.81158	4181.420839	6775.524129	2542.560063	8266.388771	3948.839835	4144.519654	5671.821286	11867.599953	4993.546658	3518.238899	7812.781574	22430.267829	2613.609715	3283.153616	2022.52045	4136.912467	16915.11691	7526.854827	16292.309962	2983.451696	2762.37541	3221.799635	1485.216022
hsa-let-7f-1-3p|MIMAT0004486	3.775406	3.08773	3.869501	2.295158	NA	1.282914	2.435108	0.775916	2.659963	6.272134	2.155966	1.926796	1.495325	2.061242	2.08596	2.840401	9.274069	3.305958	1.727141	1.264882	3.024404	3.024698	1.522386	3.75893	1.976087	0.336459	4.983815	2.347078	3.954215	1.946063	0.690719	4.152132	3.475807	2.412116	1.22261	0.825103	3.026397	2.855067	1.364951	4.678761	6.545373	1.918079	1.342224	1.36678	6.119752	0.849502	2.753838	NA	2.964503
hsa-let-7f-2-3p|MIMAT0004487	0.314617	0.617546	1.190616	0.382526	NA	0.320729	0.730532	0.387958	1.595978	0.418142	0.468688	1.284531	0.271878	0.588926	1.191976	0.4734	1.6366	0.220397	0.287857	0.474331	0.567076	1.008233	0.338308	2.631251	0.846895	1.345836	NA	0.782359	0.847332	NA	NA	1.799257	1.390322	0.109642	0.815073	NA	0.550254	0.285507	NA	1.336788	NA	0.63936	0.402667	0.136678	NA	1.699004	0.275384	NA	NA
hsa-miR-15a-5p|MIMAT0000068	125.060329	40.758026	130.074739	112.08022	19.609381	305.333622	57.22504	130.741926	81.926917	94.082029	134.888328	41.104967	125.471319	105.859462	233.627488	274.217051	505.709548	72.290291	131.838437	161.114385	186.189923	134.599067	174.39781	69.1643	151.029554	55.852181	97.807372	253.77777	109.870681	173.361772	124.3294	175.911988	91.761294	290.22115	55.832523	75.084365	370.045822	81.369429	73.161415	255.326684	57.817466	64.191707	275.424483	263.241737	193.537164	58.615651	84.26746	15.083331	101.781271
hsa-miR-15a-3p|MIMAT0004488	NA	NA	0.595308	NA	NA	0.320729	NA	NA	0.265996	NA	0.093738	NA	NA	NA	0.297994	0.2367	2.727666	NA	0.863571	0.15811	NA	0.504116	0.169154	0.751786	0.564596	NA	NA	0.293385	NA	0.162172	0.690719	0.138404	NA	0.219283	NA	0.412551	0.275127	NA	NA	1.002591	NA	0.127872	0.268445	0.273356	1.912423	NA	NA	NA	NA
hsa-miR-16-5p|MIMAT0000069	350.168922	445.868094	1022.143365	745.926381	198.054748	578.273655	393.756967	613.361975	513.905225	848.828989	662.06828	341.68503	417.603343	542.695375	806.819418	450.676968	2359.432375	513.305159	633.285062	258.826546	371.623746	706.267022	396.666209	733.743008	360.071396	377.170456	1019.190181	570.144275	839.705741	253.15035	506.98766	536.870651	558.909707	361.926715	155.271468	522.702701	1099.957768	286.934299	370.720905	830.814317	764.717821	330.80467	433.404315	446.936904	920.640208	778.144006	460.166418	61.841658	345.858688
hsa-miR-16-1-3p|MIMAT0004489	2.674247	2.470183	7.143693	3.060211	NA	8.018215	2.191598	1.939791	4.787936	6.272136	4.499403	2.569061	2.446895	2.797399	7.598853	5.562452	6.546401	5.509931	4.029996	5.69197	4.158556	6.80557	4.651736	6.766073	4.799069	1.009377	1.868931	5.57431	5.931322	4.054298	6.907189	5.951387	3.475807	7.565267	1.22261	2.475308	8.528937	2.569562	4.640836	9.691719	NA	2.173823	4.697785	5.877152	1.529939	0.849502	4.956909	0.377083	NA
hsa-miR-17-5p|MIMAT0000070	185.309519	75.958139	228.895822	289.189921	174.523491	203.021201	90.58602	237.430443	135.126214	910.29592	372.138054	213.553143	116.635309	112.337649	253.295108	231.847737	795.387837	116.36974	233.739761	344.522323	193.939962	528.566005	769.312546	960.782342	134.797404	232.493118	771.868359	253.77777	618.834604	360.021641	140.906652	1621.545912	246.782272	648.200766	167.905105	86.223254	442.679351	180.15477	110.834086	968.503577	323.995994	159.584162	262.941795	345.385184	1141.333766	583.608004	149.808816	41.479162	545.46856
hsa-miR-17-3p|MIMAT0000071	101.306732	26.554471	135.432508	161.426119	107.851596	147.535152	82.306652	155.183297	77.404979	361.275	327.237771	123.63603	154.290298	118.374141	265.06588	169.477263	169.660917	119.675697	97.007759	274.321354	287.318463	232.90176	415.273154	272.146485	208.618395	184.379491	100.922256	300.132553	243.749095	228.500222	88.412016	1869.28978	109.140327	382.539322	169.942788	68.070992	248.714813	141.32585	75.345338	1123.236901	54.544781	142.449324	307.100983	278.41299	278.448722	150.361888	69.121348	101.812488	200.59804
hsa-miR-18a-5p|MIMAT0000072	2.831554	1.235092	9.227271	2.295157	0.980469	5.131658	2.922131	3.879581	1.329981	9.617274	5.905467	2.890194	3.806281	2.061243	4.320917	4.378951	9.274068	2.865163	3.74214	3.320316	4.914659	5.545281	9.388048	39.092866	5.222518	7.402097	3.114885	14.57144	13.557308	3.567783	2.762876	84.980298	2.780645	9.867739	1.222611	2.062757	8.804064	2.855069	7.097748	25.064791	1.090896	4.859133	4.966231	6.833899	30.216278	13.592035	2.478456	0.754166	1.976335
